1.0;2;2;3
2.0;2;2;3
3.0;3;2;3
4.0;3;2;3
5.0;3;2;3
6.0;7;9;3
7.0;7;9;3
8.0;7;9;3
9.0;7;9;3
10.0;7;9;3
11.0;13;9;3
12.0;13;9;3
13.0;13;9;3
14.0;13;9;3
15.0;13;9;3
16.0;23;9;3
17.0;23;9;3
18.0;23;9;3
19.0;23;9;3
20.0;23;9;3
21.0;23;9;3
22.0;23;9;3
23.0;23;9;3
24.0;23;9;3
25.0;23;9;3
26.0;23;9;3
27.0;23;9;3
28.0;23;9;3
29.0;23;9;3
30.0;23;9;3
31.0;23;9;3
32.0;23;9;3
33.0;23;9;3
34.0;23;9;3
35.0;23;9;3
36.0;23;9;3
37.0;23;9;3
38.0;23;9;3
39.0;23;9;3
40.0;23;9;3
41.0;23;9;3
42.0;23;9;3
43.0;23;9;3
44.0;23;9;3
45.0;23;9;3
46.0;23;9;3
47.0;23;9;3
48.0;23;9;3
49.0;23;9;3
50.0;23;9;3
51.0;23;9;3
52.0;23;9;3
53.0;23;9;3
54.0;23;9;3
55.0;23;9;3
56.0;23;9;3
57.0;23;9;3
58.0;23;9;3
59.0;23;9;3
60.0;23;9;3
61.0;23;9;3
62.0;23;9;3
63.0;23;9;3
64.0;23;9;3
65.0;23;9;3
66.0;23;9;3
67.0;23;9;3
68.0;23;9;3
69.0;23;9;3
70.0;23;9;3
71.0;23;9;3
72.0;23;9;3
73.0;23;9;3
74.0;23;9;3
75.0;23;9;3
76.0;23;9;3
77.0;23;9;3
78.0;23;9;3
79.0;23;9;3
81.0;23;9;3
83.0;23;9;3
84.0;23;9;3
86.0;23;9;3
87.0;23;9;3
88.0;23;9;3
90.0;23;9;3
91.0;23;9;3
92.0;23;9;3
93.0;23;9;3
95.0;23;9;3
96.0;23;9;3
97.0;23;9;3
98.0;23;9;3
99.0;23;9;3
100.0;23;9;3
101.0;23;9;3
102.0;23;9;3
103.0;23;9;3
104.0;23;9;3
105.0;23;9;3
107.0;23;9;3
109.0;23;9;3
110.0;23;9;3
111.0;23;9;3
112.0;23;9;3
113.0;23;9;3
114.0;23;9;3
115.0;23;9;3
118.0;23;9;3
119.0;23;9;3
120.0;23;9;3
125.0;23;9;3
126.0;23;9;3
128.0;23;9;3
130.0;23;9;3
131.0;23;9;3
133.0;23;9;3
136.0;23;9;3
137.0;23;9;3
141.0;23;9;3
148.0;23;9;3
150.0;23;9;3
152.0;23;9;3
153.0;23;9;3
154.0;23;9;3
162.0;23;9;3
163.0;23;9;3
168.0;23;9;3
184.0;23;9;3
188.0;23;9;3
196.0;23;9;3
198.0;23;9;3
210.0;23;9;3
212.0;23;9;3
217.0;23;9;3
223.0;23;9;3
232.0;23;9;3
235.0;23;9;3
318.0;23;9;3
337.0;23;9;3
347.0;23;9;3
402.0;23;9;3
532.0;23;9;3
579.0;23;9;3
986.0;23;9;3
