0.0;2500;4900;11000;24000
2.0;2500;4900;11000;24000
4.0;2500;4900;11000;24000
14.0;2500;4900;11000;24000
16.0;2500;4900;11000;24000
19.5;2500;4900;11000;24000
20.0;2500;4900;11000;24000
21.0;2500;4900;11000;24000
25.03;2500;4900;11000;24000
26.38;2500;4900;11000;24000
27.63;2500;4900;11000;24000
28.0;2500;4900;11000;24000
28.44;2500;4900;11000;24000
34.47;2500;4900;11000;24000
34.5;2500;4900;11000;24000
35.6;2500;4900;11000;24000
36.5;2500;4900;11000;24000
37.0;2500;4900;11000;24000
39.81;2500;4900;11000;24000
42.0;2500;4900;11000;24000
46.92;2500;4900;11000;24000
48.0;2500;4900;11000;24000
51.0;2500;4900;11000;24000
54.0;2500;4900;11000;24000
54.75;2500;4900;11000;24000
56.0;2500;4900;11000;24000
56.25;2500;4900;11000;24000
57.76;2500;4900;11000;24000
61.0;2500;4900;11000;24000
62.0;2500;4900;11000;24000
63.0;2500;4900;11000;24000
65.53;2500;4900;11000;24000
68.0;2500;4900;11000;24000
69.0;2500;4900;11000;24000
69.06;2500;4900;11000;24000
71.0;2500;4900;11000;24000
79.0;2500;4900;11000;24000
80.0;2500;4900;11000;24000
80.31;2500;4900;11000;24000
80.81;2500;4900;11000;24000
85.58;2500;4900;11000;24000
86.0;2500;4900;11000;24000
87.0;2500;4900;11000;24000
93.75;2500;4900;11000;24000
94.0;2500;4900;11000;24000
94.25;2500;4900;11000;24000
95.0;2500;4900;11000;24000
95.65;2500;4900;11000;24000
98.5;2500;4900;11000;24000
99.75;2500;4900;11000;24000
100.0;2500;4900;11000;24000
100.85;2500;4900;11000;24000
101.0;2500;4900;11000;24000
102.0;2500;4900;11000;24000
110.5;2500;4900;11000;24000
115.0;2500;4900;11000;24000
116.3;2500;4900;11000;24000
117.0;2500;4900;11000;24000
119.2;2500;4900;11000;24000
121.0;2500;4900;11000;24000
125.42;2500;4900;11000;24000
127.36;2500;4900;11000;24000
128.24;2500;4900;11000;24000
128.43;2500;4900;11000;24000
134.75;2500;4900;11000;24000
136.5;2500;4900;11000;24000
137.84;2500;4900;11000;24000
140.5;2500;4900;11000;24000
142.59;2500;4900;11000;24000
142.7;2500;4900;11000;24000
144.05;2500;4900;11000;24000
144.75;2500;4900;11000;24000
145.03;2500;4900;11000;24000
146.62;2500;4900;11000;24000
147.0;2500;4900;11000;24000
148.03;2500;4900;11000;24000
149.5;2500;4900;11000;24000
150.0;2500;4900;11000;24000
152.0;2500;4900;11000;24000
152.04;2500;4900;11000;24000
153.5;2500;4900;11000;24000
156.0;2500;4900;11000;24000
159.0;2500;4900;11000;24000
159.4;2500;4900;11000;24000
159.81;2500;4900;11000;24000
160.66;2500;4900;11000;24000
161.0;2500;4900;11000;24000
161.46;2500;4900;11000;24000
162.0;2500;4900;11000;24000
162.81;2500;4900;11000;24000
163.0;2500;4900;11000;24000
163.32;2500;4900;11000;24000
163.96;2500;4900;11000;24000
166.0;2500;4900;11000;24000
166.5;2500;4900;11000;24000
167.52;2500;4900;11000;24000
168.75;2500;4900;11000;24000
172.25;2500;4900;11000;24000
173.0;2500;4900;11000;24000
175.1;2500;4900;11000;24000
176.0;2500;4900;11000;24000
176.45;2500;4900;11000;24000
177.0;2500;4900;11000;24000
177.5;2500;4900;11000;24000
179.0;2500;4900;11000;24000
179.85;2500;4900;11000;24000
181.0;2500;4900;11000;24000
