0.0;[0.0, 10000.0[;[0.0, 25000.0[;*
6.0;[0.0, 10000.0[;[0.0, 25000.0[;*
87.0;[0.0, 10000.0[;[0.0, 25000.0[;*
99.8;[0.0, 10000.0[;[0.0, 25000.0[;*
105.0;[0.0, 10000.0[;[0.0, 25000.0[;*
110.0;[0.0, 10000.0[;[0.0, 25000.0[;*
161.0;[0.0, 10000.0[;[0.0, 25000.0[;*
220.0;[0.0, 10000.0[;[0.0, 25000.0[;*
227.0;[0.0, 10000.0[;[0.0, 25000.0[;*
299.25;[0.0, 10000.0[;[0.0, 25000.0[;*
308.23;[0.0, 10000.0[;[0.0, 25000.0[;*
315.0;[0.0, 10000.0[;[0.0, 25000.0[;*
341.0;[0.0, 10000.0[;[0.0, 25000.0[;*
343.0;[0.0, 10000.0[;[0.0, 25000.0[;*
346.95;[0.0, 10000.0[;[0.0, 25000.0[;*
350.0;[0.0, 10000.0[;[0.0, 25000.0[;*
356.56;[0.0, 10000.0[;[0.0, 25000.0[;*
359.0;[0.0, 10000.0[;[0.0, 25000.0[;*
364.0;[0.0, 10000.0[;[0.0, 25000.0[;*
367.0;[0.0, 10000.0[;[0.0, 25000.0[;*
369.25;[0.0, 10000.0[;[0.0, 25000.0[;*
380.0;[0.0, 10000.0[;[0.0, 25000.0[;*
395.0;[0.0, 10000.0[;[0.0, 25000.0[;*
400.0;[0.0, 10000.0[;[0.0, 25000.0[;*
402.0;[0.0, 10000.0[;[0.0, 25000.0[;*
403.0;[0.0, 10000.0[;[0.0, 25000.0[;*
420.0;[0.0, 10000.0[;[0.0, 25000.0[;*
423.0;[0.0, 10000.0[;[0.0, 25000.0[;*
428.0;[0.0, 10000.0[;[0.0, 25000.0[;*
430.0;[0.0, 10000.0[;[0.0, 25000.0[;*
432.0;[0.0, 10000.0[;[0.0, 25000.0[;*
434.0;[0.0, 10000.0[;[0.0, 25000.0[;*
438.0;[0.0, 10000.0[;[0.0, 25000.0[;*
439.0;[0.0, 10000.0[;[0.0, 25000.0[;*
441.13;[0.0, 10000.0[;[0.0, 25000.0[;*
444.0;[0.0, 10000.0[;[0.0, 25000.0[;*
446.03;[0.0, 10000.0[;[0.0, 25000.0[;*
450.0;[0.0, 10000.0[;[0.0, 25000.0[;*
452.5;[0.0, 10000.0[;[0.0, 25000.0[;*
452.75;[0.0, 10000.0[;[0.0, 25000.0[;*
454.0;[0.0, 10000.0[;[0.0, 25000.0[;*
456.0;[0.0, 10000.0[;[0.0, 25000.0[;*
458.0;[0.0, 10000.0[;[0.0, 25000.0[;*
459.0;[0.0, 10000.0[;[0.0, 25000.0[;*
470.5;[0.0, 10000.0[;[0.0, 25000.0[;*
473.55;[0.0, 10000.0[;[0.0, 25000.0[;*
476.0;[0.0, 10000.0[;[0.0, 25000.0[;*
479.0;[0.0, 10000.0[;[0.0, 25000.0[;*
480.9;[0.0, 10000.0[;[0.0, 25000.0[;*
482.0;[0.0, 10000.0[;[0.0, 25000.0[;*
484.0;[0.0, 10000.0[;[0.0, 25000.0[;*
490.63;[0.0, 10000.0[;[0.0, 25000.0[;*
492.0;[0.0, 10000.0[;[0.0, 25000.0[;*
495.33;[0.0, 10000.0[;[0.0, 25000.0[;*
500.0;[0.0, 10000.0[;[0.0, 25000.0[;*
501.25;[0.0, 10000.0[;[0.0, 25000.0[;*
520.0;[0.0, 10000.0[;[0.0, 25000.0[;*
527.5;[0.0, 10000.0[;[0.0, 25000.0[;*
530.8;[0.0, 10000.0[;[0.0, 25000.0[;*
531.0;[0.0, 10000.0[;[0.0, 25000.0[;*
533.0;[0.0, 10000.0[;[0.0, 25000.0[;*
539.41;[0.0, 10000.0[;[0.0, 25000.0[;*
540.0;[0.0, 10000.0[;[0.0, 25000.0[;*
550.0;[0.0, 10000.0[;[0.0, 25000.0[;*
552.0;[0.0, 10000.0[;[0.0, 25000.0[;*
553.4;[0.0, 10000.0[;[0.0, 25000.0[;*
