0.0;0.0;*
0.02;]0.0, 969642];*
0.03;]0.0, 969642];*
0.04;]0.0, 969642];*
0.6;]0.0, 969642];*
3.0;]0.0, 969642];*
4.0;]0.0, 969642];*
4.7;]0.0, 969642];*
5.0;]0.0, 969642];*
8.0;]0.0, 969642];*
9.0;]0.0, 969642];*
10.0;]0.0, 969642];*
11.0;]0.0, 969642];*
13.0;]0.0, 969642];*
14.6;]0.0, 969642];*
16.0;]0.0, 969642];*
17.0;]0.0, 969642];*
20.0;]0.0, 969642];*
20.1;]0.0, 969642];*
21.0;]0.0, 969642];*
22.0;]0.0, 969642];*
23.0;]0.0, 969642];*
24.0;]0.0, 969642];*
25.0;]0.0, 969642];*
26.0;]0.0, 969642];*
30.0;]0.0, 969642];*
31.0;]0.0, 969642];*
32.0;]0.0, 969642];*
34.0;]0.0, 969642];*
35.0;]0.0, 969642];*
38.0;]0.0, 969642];*
39.0;]0.0, 969642];*
40.0;]0.0, 969642];*
42.0;]0.0, 969642];*
44.0;]0.0, 969642];*
45.0;]0.0, 969642];*
46.0;]0.0, 969642];*
48.0;]0.0, 969642];*
50.0;]0.0, 969642];*
51.0;]0.0, 969642];*
53.0;]0.0, 969642];*
54.0;]0.0, 969642];*
56.0;]0.0, 969642];*
56.2;]0.0, 969642];*
58.5;]0.0, 969642];*
59.0;]0.0, 969642];*
60.0;]0.0, 969642];*
61.0;]0.0, 969642];*
62.0;]0.0, 969642];*
64.0;]0.0, 969642];*
66.0;]0.0, 969642];*
68.0;]0.0, 969642];*
69.0;]0.0, 969642];*
70.0;]0.0, 969642];*
71.0;]0.0, 969642];*
72.0;]0.0, 969642];*
74.0;]0.0, 969642];*
75.0;]0.0, 969642];*
76.0;]0.0, 969642];*
78.0;]0.0, 969642];*
80.0;]0.0, 969642];*
83.5;]0.0, 969642];*
88.0;]0.0, 969642];*
90.0;]0.0, 969642];*
91.0;]0.0, 969642];*
92.0;]0.0, 969642];*
93.0;]0.0, 969642];*
96.0;]0.0, 969642];*
99.0;]0.0, 969642];*
100.0;]0.0, 969642];*
101.0;]0.0, 969642];*
101.5;]0.0, 969642];*
103.6;]0.0, 969642];*
107.0;]0.0, 969642];*
108.7;]0.0, 969642];*
109.0;]0.0, 969642];*
110.0;]0.0, 969642];*
112.0;]0.0, 969642];*
114.0;]0.0, 969642];*
115.0;]0.0, 969642];*
116.0;]0.0, 969642];*
120.0;]0.0, 969642];*
121.0;]0.0, 969642];*
124.0;]0.0, 969642];*
124.5;]0.0, 969642];*
127.0;]0.0, 969642];*
128.0;]0.0, 969642];*
132.0;]0.0, 969642];*
133.0;]0.0, 969642];*
135.0;]0.0, 969642];*
136.0;]0.0, 969642];*
138.0;]0.0, 969642];*
138.4;]0.0, 969642];*
140.0;]0.0, 969642];*
144.0;]0.0, 969642];*
14.65;]0.0, 969642];*
148.0;]0.0, 969642];*
149.0;]0.0, 969642];*
153.0;]0.0, 969642];*
154.0;]0.0, 969642];*
155.0;]0.0, 969642];*
155.3;]0.0, 969642];*
160.0;]0.0, 969642];*
161.0;]0.0, 969642];*
163.0;]0.0, 969642];*
164.5;]0.0, 969642];*
165.5;]0.0, 969642];*
168.5;]0.0, 969642];*
171.0;]0.0, 969642];*
174.1;]0.0, 969642];*
177.0;]0.0, 969642];*
179.0;]0.0, 969642];*
180.0;]0.0, 969642];*
184.0;]0.0, 969642];*
187.0;]0.0, 969642];*
192.0;]0.0, 969642];*
197.0;]0.0, 969642];*
198.0;]0.0, 969642];*
199.0;]0.0, 969642];*
200.0;]0.0, 969642];*
202.0;]0.0, 969642];*
202.5;]0.0, 969642];*
206.5;]0.0, 969642];*
210.0;]0.0, 969642];*
215.3;]0.0, 969642];*
217.0;]0.0, 969642];*
220.5;]0.0, 969642];*
222.0;]0.0, 969642];*
223.0;]0.0, 969642];*
225.0;]0.0, 969642];*
226.0;]0.0, 969642];*
226.5;]0.0, 969642];*
226.8;]0.0, 969642];*
232.0;]0.0, 969642];*
233.0;]0.0, 969642];*
234.0;]0.0, 969642];*
236.0;]0.0, 969642];*
24.15;]0.0, 969642];*
248.5;]0.0, 969642];*
24.85;]0.0, 969642];*
249.0;]0.0, 969642];*
256.0;]0.0, 969642];*
261.0;]0.0, 969642];*
27.05;]0.0, 969642];*
271.0;]0.0, 969642];*
272.0;]0.0, 969642];*
276.5;]0.0, 969642];*
280.0;]0.0, 969642];*
294.0;]0.0, 969642];*
294.5;]0.0, 969642];*
296.0;]0.0, 969642];*
298.0;]0.0, 969642];*
299.0;]0.0, 969642];*
300.0;]0.0, 969642];*
303.0;]0.0, 969642];*
303.2;]0.0, 969642];*
312.5;]0.0, 969642];*
319.0;]0.0, 969642];*
323.0;]0.0, 969642];*
325.0;]0.0, 969642];*
336.0;]0.0, 969642];*
340.0;]0.0, 969642];*
341.0;]0.0, 969642];*
358.0;]0.0, 969642];*
372.0;]0.0, 969642];*
389.0;]0.0, 969642];*
395.0;]0.0, 969642];*
398.0;]0.0, 969642];*
400.0;]0.0, 969642];*
404.9;]0.0, 969642];*
486.5;]0.0, 969642];*
499.0;]0.0, 969642];*
500.0;]0.0, 969642];*
501.0;]0.0, 969642];*
502.0;]0.0, 969642];*
512.5;]0.0, 969642];*
527.0;]0.0, 969642];*
540.0;]0.0, 969642];*
560.0;]0.0, 969642];*
592.0;]0.0, 969642];*
596.0;]0.0, 969642];*
620.0;]0.0, 969642];*
651.0;]0.0, 969642];*
675.0;]0.0, 969642];*
676.0;]0.0, 969642];*
680.0;]0.0, 969642];*
685.0;]0.0, 969642];*
694.5;]0.0, 969642];*
700.0;]0.0, 969642];*
730.0;]0.0, 969642];*
769.5;]0.0, 969642];*
802.0;]0.0, 969642];*
850.0;]0.0, 969642];*
895.5;]0.0, 969642];*
92.05;]0.0, 969642];*
933.0;]0.0, 969642];*
962.0;]0.0, 969642];*
985.0;]0.0, 969642];*
995.0;]0.0, 969642];*
999.1;]0.0, 969642];*
1014.5;]0.0, 969642];*
1038.0;]0.0, 969642];*
1044.0;]0.0, 969642];*
1053.0;]0.0, 969642];*
1084.0;]0.0, 969642];*
109.32;]0.0, 969642];*
1128.0;]0.0, 969642];*
1172.0;]0.0, 969642];*
1183.0;]0.0, 969642];*
1188.0;]0.0, 969642];*
1199.0;]0.0, 969642];*
1205.0;]0.0, 969642];*
1207.0;]0.0, 969642];*
1262.0;]0.0, 969642];*
1271.0;]0.0, 969642];*
1280.0;]0.0, 969642];*
1356.0;]0.0, 969642];*
1396.0;]0.0, 969642];*
1403.0;]0.0, 969642];*
1409.0;]0.0, 969642];*
1417.5;]0.0, 969642];*
1447.0;]0.0, 969642];*
146.35;]0.0, 969642];*
1494.0;]0.0, 969642];*
1535.0;]0.0, 969642];*
1553.5;]0.0, 969642];*
1555.0;]0.0, 969642];*
1573.0;]0.0, 969642];*
1584.0;]0.0, 969642];*
1621.0;]0.0, 969642];*
1640.0;]0.0, 969642];*
1704.0;]0.0, 969642];*
1718.0;]0.0, 969642];*
1772.5;]0.0, 969642];*
1815.0;]0.0, 969642];*
1881.0;]0.0, 969642];*
1917.0;]0.0, 969642];*
1978.5;]0.0, 969642];*
2051.0;]0.0, 969642];*
2087.5;]0.0, 969642];*
2175.0;]0.0, 969642];*
2293.0;]0.0, 969642];*
2339.0;]0.0, 969642];*
236.95;]0.0, 969642];*
2431.0;]0.0, 969642];*
